,Bentota_hotel
2014-12-28,76.0
2015-01-04,35.0
2015-01-11,46.0
2015-01-18,49.0
2015-01-25,59.0
2015-02-01,44.0
2015-02-08,49.0
2015-02-15,61.0
2015-02-22,49.0
2015-03-01,60.0
2015-03-08,43.0
2015-03-15,47.0
2015-03-22,54.0
2015-03-29,75.0
2015-04-05,90.0
2015-04-12,89.0
2015-04-19,62.0
2015-04-26,100.0
2015-05-03,61.0
2015-05-10,38.0
2015-05-17,44.0
2015-05-24,51.0
2015-05-31,56.0
2015-06-07,77.0
2015-06-14,56.0
2015-06-21,64.0
2015-06-28,70.0
2015-07-05,52.0
2015-07-12,69.0
2015-07-19,67.0
2015-07-26,68.0
2015-08-02,58.0
2015-08-09,67.0
2015-08-16,59.0
2015-08-23,74.0
2015-08-30,54.0
2015-09-06,54.0
2015-09-13,57.0
2015-09-20,71.0
2015-09-27,47.0
2015-10-04,55.0
2015-10-11,54.0
2015-10-18,50.0
2015-10-25,59.0
2015-11-01,43.0
2015-11-08,56.0
2015-11-15,62.0
2015-11-22,53.0
2015-11-29,57.0
2015-12-06,54.0
2015-12-13,68.0
2015-12-20,94.0
2015-12-27,61.0
2016-01-03,68.0
2016-01-10,53.0
2016-01-17,41.0
2016-01-24,33.0
2016-01-31,37.0
2016-02-07,57.0
2016-02-14,47.0
2016-02-21,40.0
2016-02-28,33.0
2016-03-06,47.0
2016-03-13,36.0
2016-03-20,48.0
2016-03-27,61.0
2016-04-03,58.0
2016-04-10,75.0
2016-04-17,59.0
2016-04-24,48.0
2016-05-01,57.0
2016-05-08,56.0
2016-05-15,40.0
2016-05-22,25.0
2016-05-29,37.0
2016-06-05,47.0
2016-06-12,35.0
2016-06-19,38.0
2016-06-26,51.0
2016-07-03,40.0
2016-07-10,43.0
2016-07-17,34.0
2016-07-24,36.0
2016-07-31,48.0
2016-08-07,50.0
2016-08-14,58.0
2016-08-21,44.0
2016-08-28,31.0
2016-09-04,49.0
2016-09-11,70.0
2016-09-18,33.0
2016-09-25,33.0
2016-10-02,29.0
2016-10-09,38.0
2016-10-16,43.0
2016-10-23,42.0
2016-10-30,41.0
2016-11-06,55.0
2016-11-13,39.0
2016-11-20,54.0
2016-11-27,52.0
2016-12-04,55.0
2016-12-11,43.0
2016-12-18,54.0
2016-12-25,38.0
2017-01-01,34.0
2017-01-08,56.0
2017-01-15,39.0
2017-01-22,47.0
2017-01-29,41.0
2017-02-05,44.0
2017-02-12,38.0
2017-02-19,36.0
2017-02-26,31.0
2017-03-05,41.0
2017-03-12,41.0
2017-03-19,53.0
2017-03-26,53.0
2017-04-02,49.0
2017-04-09,60.0
2017-04-16,59.0
2017-04-23,19.0
2017-04-30,39.0
2017-05-07,31.0
2017-05-14,27.0
2017-05-21,23.0
2017-05-28,20.0
2017-06-04,38.0
2017-06-11,29.0
2017-06-18,28.0
2017-06-25,26.0
2017-07-02,23.0
2017-07-09,31.0
2017-07-16,24.0
2017-07-23,24.0
2017-07-30,44.0
2017-08-06,51.0
2017-08-13,54.0
2017-08-20,51.0
2017-08-27,46.0
2017-09-03,48.0
2017-09-10,39.0
2017-09-17,34.0
2017-09-24,0.0
2017-10-01,44.0
2017-10-08,41.0
2017-10-15,37.0
2017-10-22,32.0
2017-10-29,44.0
2017-11-05,29.0
2017-11-12,34.0
2017-11-19,24.0
2017-11-26,34.0
2017-12-03,30.0
2017-12-10,38.0
2017-12-17,54.0
2017-12-24,49.0
2017-12-31,47.0
2018-01-07,44.0
2018-01-14,43.0
2018-01-21,34.0
2018-01-28,35.0
2018-02-04,35.0
2018-02-11,44.0
2018-02-18,32.0
2018-02-25,43.0
2018-03-04,34.0
2018-03-11,43.0
2018-03-18,41.0
2018-03-25,33.0
2018-04-01,50.0
2018-04-08,60.0
2018-04-15,60.0
2018-04-22,34.0
2018-04-29,41.0
2018-05-06,44.0
2018-05-13,42.0
2018-05-20,23.0
2018-05-27,33.0
2018-06-03,26.0
2018-06-10,31.0
2018-06-17,24.0
2018-06-24,27.0
2018-07-01,29.0
2018-07-08,32.0
2018-07-15,49.0
2018-07-22,38.0
2018-07-29,36.0
2018-08-05,46.0
2018-08-12,43.0
2018-08-19,53.0
2018-08-26,29.0
2018-09-02,45.0
2018-09-09,43.0
2018-09-16,42.0
2018-09-23,34.0
2018-09-30,21.0
2018-10-07,23.0
2018-10-14,32.0
2018-10-21,38.0
2018-10-28,19.0
2018-11-04,34.0
2018-11-11,40.0
2018-11-18,31.0
2018-11-25,39.0
2018-12-02,43.0
2018-12-09,43.0
2018-12-16,48.0
2018-12-23,61.0
2018-12-30,38.0
2019-01-06,40.0
2019-01-13,46.0
2019-01-20,41.0
2019-01-27,45.0
2019-02-03,37.0
2019-02-10,31.0
2019-02-17,31.0
2019-02-24,26.0
2019-03-03,32.0
2019-03-10,26.0
2019-03-17,45.0
2019-03-24,43.0
2019-03-31,37.0
2019-04-07,41.0
2019-04-14,42.0
2019-04-21,19.0
2019-04-28,0.0
2019-05-05,18.0
2019-05-12,33.0
2019-05-19,37.0
2019-05-26,50.0
2019-06-02,35.0
2019-06-09,35.0
2019-06-16,41.0
2019-06-23,41.0
2019-06-30,28.0
2019-07-07,33.0
2019-07-14,48.0
2019-07-21,25.0
2019-07-28,57.0
2019-08-04,47.0
2019-08-11,59.0
2019-08-18,44.0
2019-08-25,46.0
2019-09-01,37.0
2019-09-08,56.0
2019-09-15,31.0
2019-09-22,21.0
2019-09-29,35.0
2019-10-06,35.0
2019-10-13,45.0
2019-10-20,39.0
2019-10-27,30.0
2019-11-03,52.0
2019-11-10,42.0
2019-11-17,50.0
2019-11-24,34.0
2019-12-01,36.0
2019-12-08,43.0
2019-12-15,55.0
2019-12-22,69.0
2019-12-29,38.0
2020-01-05,48.0
2020-01-05,48.38053097345132
2020-01-12,36.79646017699115
2020-01-19,32.70796460176991
2020-01-26,34.070796460176986
2020-02-02,27.93805309734513
2020-02-09,51.10619469026548
2020-02-16,51.10619469026548
2020-02-23,21.805309734513273
2020-03-01,36.11504424778761
2020-03-08,28.61946902654867
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,18.398230088495573
2020-06-14,23.168141592920353
2020-06-21,42.24778761061947
2020-06-28,61.32743362831858
2020-07-05,29.30088495575221
2020-07-12,15.672566371681414
2020-07-19,37.477876106194685
2020-07-26,42.24778761061947
2020-08-02,39.52212389380531
2020-08-09,27.25663716814159
2020-08-16,27.25663716814159
2020-08-23,23.168141592920353
2020-08-30,31.34513274336283
2020-09-06,32.70796460176991
2020-09-13,27.25663716814159
2020-09-20,20.442477876106192
2020-09-27,38.84070796460177
2020-10-04,0.0
2020-10-11,18.398230088495573
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,0.0
2020-11-29,12.946902654867255
2020-12-06,18.398230088495573
2020-12-13,24.530973451327434
2020-12-20,0.0
2020-12-27,17.716814159292035
2021-01-03,13.628318584070795
2021-01-10,0.0
2021-01-17,19.079646017699112
2021-01-24,0.0
2021-01-31,17.035398230088493
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,27.25663716814159
2021-02-28,0.0
2021-03-07,12.946902654867255
2021-03-14,12.946902654867255
2021-03-21,19.079646017699112
2021-03-28,25.212389380530972
2021-04-04,33.38938053097345
2021-04-11,46.336283185840706
2021-04-18,18.398230088495573
2021-04-25,18.398230088495573
2021-05-02,0.0
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,0.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.0
2021-10-03,0.0
2021-10-10,15.672566371681414
2021-10-17,14.309734513274336
2021-10-24,21.123893805309734
2021-10-31,31.34513274336283
2021-11-07,17.716814159292035
2021-11-14,0.0
2021-11-21,21.123893805309734
2021-11-28,22.48672566371681
2021-12-05,32.02654867256637
2021-12-12,27.93805309734513
2021-12-19,32.70796460176991
2021-12-26,36.11504424778761
2022-01-02,27.93805309734513
2022-01-09,41.56637168141592
2022-01-16,28.61946902654867
2022-01-23,21.123893805309734
2022-01-30,30.66371681415929
2022-02-06,23.84955752212389
2022-02-13,27.93805309734513
2022-02-20,24.530973451327434
2022-02-27,29.30088495575221
2022-03-06,19.761061946902654
2022-03-13,27.25663716814159
2022-03-20,24.530973451327434
2022-03-27,21.123893805309734
2022-04-03,21.123893805309734
2022-04-10,41.56637168141592
2022-04-17,19.079646017699112
2022-04-24,22.48672566371681
2022-05-01,18.398230088495573
2022-05-08,16.353982300884955
2022-05-15,8.858407079646017
2022-05-22,11.584070796460177
2022-05-29,17.035398230088493
2022-06-05,21.805309734513273
2022-06-12,17.035398230088493
2022-06-19,15.672566371681414
2022-06-26,10.902654867256636
2022-07-03,16.353982300884955
2022-07-10,12.265486725663717
2022-07-17,17.035398230088493
2022-07-24,16.353982300884955
2022-07-31,38.84070796460177
2022-08-07,40.884955752212385
2022-08-14,44.97345132743362
2022-08-21,39.52212389380531
2022-08-28,42.92920353982301
2022-09-04,51.10619469026548
2022-09-11,24.530973451327434
2022-09-18,35.43362831858407
2022-09-25,32.70796460176991
2022-10-02,23.168141592920353
2022-10-09,23.84955752212389
2022-10-16,24.530973451327434
2022-10-23,24.530973451327434
2022-10-30,19.761061946902654
2022-11-06,35.43362831858407
2022-11-13,22.48672566371681
2022-11-20,23.168141592920353
2022-11-27,29.982300884955748
2022-12-04,26.575221238938052
2022-12-11,44.292035398230084
2022-12-18,34.75221238938053
2022-12-25,28.61946902654867
2023-01-01,27.93805309734513
2023-01-08,25.89380530973451
2023-01-15,21.123893805309734
2023-01-22,24.530973451327434
2023-01-29,22.48672566371681
2023-02-05,40.203539823008846
2023-02-12,22.48672566371681
2023-02-19,17.716814159292035
2023-02-26,25.212389380530972
2023-03-05,23.84955752212389
2023-03-12,15.672566371681414
2023-03-19,19.761061946902654
2023-03-26,23.168141592920353
2023-04-02,34.070796460176986
2023-04-09,28.61946902654867
2023-04-16,20.442477876106192
2023-04-23,23.168141592920353
2023-04-30,34.75221238938053
2023-05-07,19.761061946902654
2023-05-14,19.761061946902654
2023-05-21,21.805309734513273
2023-05-28,25.212389380530972
2023-06-04,31.34513274336283
2023-06-11,16.353982300884955
2023-06-18,22.48672566371681
2023-06-25,36.11504424778761
2023-07-02,26.575221238938052
2023-07-09,33.38938053097345
2023-07-16,26.575221238938052
2023-07-23,32.02654867256637
2023-07-30,29.982300884955748
2023-08-06,32.70796460176991
2023-08-13,28.61946902654867
2023-08-20,28.61946902654867
2023-08-27,16.353982300884955
2023-09-03,19.761061946902654
2023-09-10,19.761061946902654
2023-09-17,21.805309734513273
2023-09-24,28.61946902654867
2023-10-01,17.716814159292035
2023-10-08,17.716814159292035
2023-10-15,13.628318584070795
2023-10-22,21.123893805309734
2023-10-29,17.035398230088493
2023-11-05,17.716814159292035
2023-11-12,27.25663716814159
2023-11-19,32.70796460176991
2023-11-26,23.168141592920353
2023-12-03,34.070796460176986
2023-12-10,38.159292035398224
2023-12-17,49.06194690265487
2023-12-24,36.79646017699115
2023-12-31,35.43362831858407
2024-01-07,42.92920353982301
2024-01-07,41.846954711087974
2024-01-14,20.68297761582509
2024-01-21,33.6699635606455
2024-01-28,21.644976574700678
2024-02-04,32.22696512233212
2024-02-11,31.26496616345653
2024-02-18,22.12597605413847
2024-02-25,21.644976574700678
2024-03-03,24.530973451327434
2024-03-10,13.467985424258199
2024-03-17,23.087975013014056
2024-03-24,25.97397188964081
2024-03-31,21.163977095262883
2024-04-07,32.70796460176991
2024-04-14,27.897969807391984
2024-04-21,15.872982821447163
2024-04-28,18.277980218636127
2024-05-05,20.201978136387297
2024-05-12,31.26496616345653
2024-05-19,26.454971369078603
2024-05-26,13.948984903695992
2024-06-02,23.087975013014056
2024-06-09,22.60697553357626
2024-06-16,34.63196251952108
2024-06-23,25.97397188964081
2024-06-30,22.12597605413847
2024-07-07,34.63196251952108
2024-07-14,30.78396668401874
2024-07-21,28.378969286829776
2024-07-28,24.530973451327434
2024-08-04,29.340968245705362
2024-08-11,37.99895887558563
2024-08-18,28.859968766267567
2024-08-25,26.935970848516398
2024-09-01,31.26496616345653
2024-09-08,31.745965642894326
2024-09-15,31.26496616345653
2024-09-22,11.543987506507028
2024-09-29,18.277980218636127
2024-10-06,20.201978136387297
2024-10-13,23.087975013014056
2024-10-20,17.31598125976054
2024-10-27,21.644976574700678
2024-11-03,25.011972930765225
2024-11-10,28.378969286829776
2024-11-17,13.467985424258199
2024-11-24,25.97397188964081
2024-12-01,27.897969807391984
2024-12-08,31.26496616345653
2024-12-15,27.41697032795419
2024-12-22,36.07496095783446
2024-12-29,25.011972930765225
2025-01-05,37.51795939614784
2025-01-12,27.41697032795419
2025-01-19,20.201978136387297
2025-01-26,15.39198334200937
2025-02-02,19.239979177511714
2025-02-09,26.454971369078603
2025-02-16,23.568974492451847
2025-02-23,17.31598125976054
2025-03-02,22.60697553357626
2025-03-09,21.163977095262883
2025-03-16,18.277980218636127
2025-03-23,0.0
2025-03-30,14.910983862571577
2025-04-06,33.6699635606455
2025-04-13,39.44195731389901
2025-04-20,15.872982821447163
2025-04-27,17.796980739198332
2025-05-04,25.97397188964081
2025-05-11,24.530973451327434
2025-05-18,18.277980218636127
2025-05-25,14.429984383133784
2025-06-01,19.239979177511714
2025-06-08,22.60697553357626
2025-06-15,21.163977095262883
2025-06-22,17.31598125976054
2025-06-29,18.277980218636127
2025-07-06,27.897969807391984
2025-07-13,24.049973971889642
2025-07-20,30.78396668401874
2025-07-27,24.049973971889642
2025-08-03,28.378969286829776
2025-08-10,30.78396668401874
2025-08-17,31.745965642894326
2025-08-24,23.087975013014056
2025-08-31,19.720978656949505
2025-09-07,25.49297241020302
2025-09-14,17.31598125976054
2025-09-21,16.353982300884955
2025-09-28,32.70796460176991
2025-10-05,22.12597605413847
2025-10-12,24.530973451327434
2025-10-19,22.60697553357626
2025-10-26,30.30296720458095
2025-11-02,19.239979177511714
2025-11-09,26.454971369078603
2025-11-16,31.745965642894326
2025-11-23,20.68297761582509
2025-11-30,23.568974492451847
2025-12-07,19.720978656949505
